source,target,source_dataset,target_dataset,closed_set,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,pse_early_curve_distance,pse_late_curve_distance,pse_mid_curve_distance,prototype_distance,domain_ndvi_curve_mse,source_ndvi_q90_range_mean,classwise_curve_shift_mse_mean,best_shifted_curve_mse,domain_bandwise_curve_mse,global_curve_shift_mse,source_curve_activity_range,source_fisher_ratio,source_curve_spread,pse_trend_curve_distance,source_ndvi_q90_range_std,source_class_curve_variance_mean,mmd,class_relative_curve_structure_corr,relation_structure_distance,class_relative_curve_structure_mse,acf_distance,coral,shared_classes_for_proto,shared_classes_for_relation,shared_classes_for_curves,shared_classes_for_curve_structure,source_samples,target_samples,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,11,1,timematch_30TXT_to_31TCJ_closedset_noshift,0.7945527984749808,0.9578964748617188,0.5193429589271545,0.5611624121665955,0.6038485765457153,0.6807579398155212,0.03603022173047066,0.7321340116587552,0.0002772654115688056,0.00018040130089502782,0.00023987554595805705,0.00023987554595805705,2.8031296730041504,2.6234934329986572,4.2577691078186035,4.730293273925781,0.05812385301532046,0.00013859994942322373,0.10325384140014648,0.4541029022023368,0.0010100974468514323,0.002693342976272106,0.07656922936439514,1.5111445463844575e-05,11,11,11,11,106028,73493,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,11,1,timematch_30TXT_to_32VNH_closedset_noshift,0.6581404601787256,0.9479606188466948,0.683323085308075,0.49108296632766724,0.5017753839492798,1.1290631294250488,0.03144913911819458,0.7321340116587552,0.00023077808145899326,0.0001637448585825041,0.00016374487313441932,0.0001637448585825041,2.782447338104248,2.8350212574005127,4.2844157218933105,4.8849263191223145,0.05812385301532046,0.00013859994942322373,0.07993006706237793,-0.17035706514454035,0.003341841744259,0.017287269234657288,0.04414838179945946,1.2812982276955154e-05,10,10,10,10,106028,48123,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,11,1,timematch_30TXT_to_33UVP_closedset_noshift,0.8135698493777221,0.9696019629225736,0.5687435865402222,0.37566888332366943,0.628727912902832,0.7913562655448914,0.06800349056720734,0.7321340116587552,0.0006201796932145953,0.0002983615850098431,0.000490067875944078,0.000490067875944078,2.5895302295684814,2.4636662006378174,3.907557725906372,5.350775718688965,0.05812385301532046,0.00013859994942322373,0.03749895095825195,0.2799088927332446,0.001611929852515459,0.0030924296006560326,0.06652563065290451,8.987575711216778e-06,10,10,10,10,106028,42731,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,12,1,timematch_31TCJ_to_30TXT_closedset_noshift,0.6513283731186127,0.9263060182558919,0.6732639670372009,0.9281613230705261,0.8286314010620117,1.2257789373397827,0.03600727394223213,0.6546598424514135,0.0002774327585939318,0.00018058385467156768,0.00024001396377570927,0.0002400139783276245,4.470413684844971,2.0601611137390137,7.199779987335205,7.2862548828125,0.03504532829880232,0.00012282634270377457,0.08172464370727539,0.42720616143867274,0.00037369230994954705,0.002766799181699753,0.07661489397287369,0.00026993759092874825,12,12,12,12,74156,106107,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,12,1,timematch_31TCJ_to_32VNH_closedset_noshift,0.5156133774457572,0.743421897060711,1.220914363861084,0.867196261882782,1.1973668336868286,1.3887746334075928,0.023479918017983437,0.6546598424514135,0.00029868114506825805,0.00015764583076816052,0.00022875357535667717,0.0002287535899085924,4.6510701179504395,1.349042534828186,7.187445163726807,7.652853488922119,0.03504532829880232,0.00012282634270377457,0.07843637466430664,-0.00478981038986775,0.003139479085803032,0.016219884157180786,0.06674675643444061,3.800745980697684e-05,10,10,10,10,74156,48123,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,12,1,timematch_31TCJ_to_33UVP_closedset_noshift,0.6545428390632363,0.957550358253346,0.8772588968276978,0.7548407316207886,0.8372781872749329,1.2753300666809082,0.034293003380298615,0.6546598424514135,0.0004376363067422062,0.0002791621955111623,0.00038409241824410856,0.00038409241824410856,4.328639030456543,1.502276062965393,6.810007095336914,7.475942134857178,0.03504532829880232,0.00012282634270377457,0.08964216709136963,0.32370058323435297,0.0011750564444810152,0.002500478643923998,0.06963697820901871,0.00018133301637135446,10,10,10,10,74156,42731,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,12,1,timematch_32VNH_to_30TXT_closedset_noshift,0.5682796658061672,0.958042702731484,1.04391348361969,0.835091769695282,1.0736688375473022,2.0902767181396484,0.03194848820567131,0.6766762435436249,0.00021391436166595668,0.00016396143473684788,0.00016396140563301742,0.00016396143473684788,5.0931172370910645,1.8621585369110107,6.867488384246826,8.748353004455566,0.042695548552879735,0.0001281706354347989,0.07422566413879395,0.014220754996287398,0.0012033483944833279,0.002824433147907257,0.044380709528923035,0.00011086534505011514,12,12,12,12,53823,104447,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,12,1,timematch_32VNH_to_31TCJ_closedset_noshift,0.45307837369305637,0.9231816943612094,1.4631277322769165,1.2357773780822754,1.5576814413070679,2.0572352409362793,0.03004121407866478,0.6766762435436249,0.00026471877936273813,0.00016665605653543025,0.0002421480166958645,0.0002421480166958645,5.36366605758667,1.655239462852478,7.093831539154053,8.661578178405762,0.042695548552879735,0.0001281706354347989,0.09860193729400635,0.38942010963565205,0.0013550732983276248,0.001077831257134676,0.0669599324464798,8.276287553599104e-05,12,12,12,12,53823,57128,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,12,1,timematch_32VNH_to_33UVP_closedset_noshift,0.6702959698139771,0.9489481785531042,1.088416337966919,0.9139204025268555,1.1038013696670532,1.7021666765213013,0.03909849375486374,0.6766762435436249,0.0005060448893345892,0.00032637317781336606,0.0004431382694747299,0.0004431382694747299,5.15673828125,1.6540894508361816,6.787974834442139,9.416851043701172,0.042695548552879735,0.0001281706354347989,0.06504321098327637,0.33913254206789356,0.000709963554982096,0.002201913855969906,0.05812571570277214,0.00014932386693544686,12,12,12,12,53823,43959,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,10,1,timematch_33UVP_to_30TXT_closedset_noshift,0.7142810780316066,0.9255609703850479,1.0537745952606201,0.8484002351760864,1.005936861038208,1.4500707387924194,0.06811375170946121,0.7373847126960754,0.0006261737435124815,0.0002980048593599349,0.0004890960990451276,0.0004890961572527885,5.2051167488098145,3.549297571182251,7.7633376121521,9.812522888183594,0.032480193790871255,0.00028484355425462127,0.04789268970489502,0.20204188691338504,0.0009596897871233523,0.0024675431195646524,0.06623738259077072,7.618029485456645e-05,10,10,10,10,43809,104138,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift
AT1,FR2,austria/33UVP/2017,france/31TCJ/2017,True,10,1,timematch_33UVP_to_31TCJ_closedset_noshift,0.6214111953583912,0.9183560122188281,1.2969367504119873,0.8655818104743958,0.8979729413986206,1.5890600681304932,0.045131195336580276,0.7373847126960754,0.0004418711760081351,0.0002801216032821685,0.00038700993172824383,0.00038700993172824383,5.5573883056640625,3.8593075275421143,8.206335067749023,8.686467170715332,0.032480193790871255,0.00028484355425462127,0.07852518558502197,0.3950321475189228,0.0009382221032865345,0.0025375206023454666,0.06778819113969803,0.00011729115794878453,10,10,10,10,43809,56678,/data/user/timematch/outputs/timematch_33UVP_to_31TCJ_closedset_noshift
AT1,DK1,austria/33UVP/2017,denmark/32VNH/2017,True,10,1,timematch_33UVP_to_32VNH_closedset_noshift,0.7483376774611116,0.7225208135736115,0.9326062202453613,0.8041513562202454,1.015506386756897,1.783064603805542,0.039229195564985275,0.7373847126960754,0.0005061848205514252,0.00032631843350827694,0.00044291344238445163,0.00044291341328062117,5.62468147277832,4.314080238342285,8.354780197143555,8.932784080505371,0.032480193790871255,0.00028484355425462127,0.1073383092880249,0.28121498867547373,0.0013942007208243012,0.0027132427785545588,0.058128368109464645,0.0002513352083042264,10,10,10,10,43809,53173,/data/user/timematch/outputs/timematch_33UVP_to_32VNH_closedset_noshift
