source,target,source_dataset,target_dataset,closed_set_num_classes,shared_classes_for_proto,timematch_experiment,target_f1,target_accuracy,mmd,coral,prototype_distance,relation_structure_distance,acf_distance,temporal_curve_distance,seasonal_curve_distance,phenology_curve_distance,phenology_peak_shift,early_curve_distance,mid_curve_distance,late_curve_distance,best_window_distance,trend_curve_distance,detrended_curve_distance,frequency_magnitude_distance,pse_temporal_curve_distance,pse_early_curve_distance,pse_mid_curve_distance,pse_late_curve_distance,pse_best_window_distance,pse_trend_curve_distance,pse_detrended_curve_distance,pse_frequency_magnitude_distance,shared_classes_for_temporal_curve,shared_classes_for_seasonal_curve,shared_classes_for_phenology_curve,shared_classes_for_pse_temporal_curve,source_samples,target_samples,result_dir,checkpoint_path
AT1,DK1,austria/33UVP/2017,denmark/32VNH/2017,10,10,timematch_AT1_to_DK1_baseline,0.7511958459334122,0.8138921144304867,0.08486247062683105,0.001695950166322291,2.698378086090088,0.0006172346184030175,0.058128368109464645,0.0587395578622818,0.05873955773810546,0.07787920093784731,13.7,0.06902410872280598,0.049334213882684705,0.05786035060882568,0.049334213882684705,0.04986651465296745,0.03073667660355568,0.1498623162508011,3.205738592147827,3.1787532329559327,3.3787101030349733,3.059752035140991,3.059752035140991,2.510888957977295,1.8225976586341859,10.579500293731689,10,10,10,10,43809,53173,result/baseline/AT1/DK1/20260425_192021_baseline,outputs/timematch_AT1_to_DK1_baseline/fold_0/model.pt
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,10,10,timematch_AT1_to_FR1_baseline,0.703146821838395,0.9477471671768434,0.06458985805511475,0.00026293596602045,1.6565641164779663,0.0008300382178276777,0.06623738259077072,0.06715412251651287,0.06715412139892578,0.09352486493686836,8.7,0.08782928511500358,0.04885284155607224,0.06478023752570153,0.04885284155607224,0.05007539764046669,0.04178072661161423,0.2120933175086975,2.0401615858078004,2.1607056498527526,2.1990671396255492,1.76071195602417,1.76071195602417,1.4879820585250854,1.2589020490646363,6.686687707901001,10,10,10,10,43809,104138,result/baseline/AT1/FR1/20260425_190005_baseline,outputs/timematch_AT1_to_FR1_baseline/fold_0/model.pt
AT1,FR2,austria/33UVP/2017,france/31TCJ/2017,10,10,timematch_AT1_to_FR2_baseline,0.6226317332192701,0.9403216704288939,0.06969499588012695,0.000183119424036704,1.1329782009124756,0.0006007924093864858,0.06778819113969803,0.055841021984815595,0.05584102272987366,0.08599270147581894,10.7,0.0824691340327263,0.037764542177319525,0.04728939197957516,0.037764542177319525,0.04029733464121819,0.033508576825261115,0.18186834901571275,2.036975884437561,2.165947699546814,2.207973635196686,1.737006461620331,1.737006461620331,1.4858534812927247,1.2017139554023744,6.130369997024536,10,10,10,10,43809,56678,result/baseline/AT1/FR2/20260425_183831_baseline,outputs/timematch_AT1_to_FR2_baseline/fold_0/model.pt
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,12,12,timematch_DK1_to_AT1_baseline,0.5264147243268942,0.9191791233848493,0.06116199493408203,0.001851517939940095,3.082230806350708,0.000993923982605338,0.05812571570277214,0.05864081159234047,0.05864081159234047,0.07894806775988804,13.75,0.06802575259159009,0.05040872686853012,0.05748795531690121,0.05040872686853012,0.049969496205449104,0.03009188159679373,0.14741425340374312,3.4607755740483603,3.408263305823008,3.7658339937527976,3.2082295417785645,3.2082295417785645,2.703672687212626,1.9464881022771199,11.471485535303751,12,12,12,12,53823,43959,result/baseline/DK1/AT1/20260425_181826_baseline,outputs/timematch_DK1_to_AT1_baseline/fold_0/model.pt
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,12,12,timematch_DK1_to_FR1_baseline,0.5917054184853834,0.9515157973253769,0.08840906620025635,0.001355243963189423,3.0652894973754883,0.0008922151755541563,0.044380709528923035,0.040520165426035724,0.04052016511559487,0.039306593593209975,4.833333333333333,0.031236518795291584,0.05531434963146845,0.03500962692002455,0.031236518795291584,0.027631818782538176,0.028168244753032923,0.13327956261734167,3.3784300088882446,3.452125370502472,3.846401254336039,2.8367632627487183,2.8367632627487183,2.6599197387695312,1.7933431764443715,10.974091291427612,12,12,12,12,53823,104447,result/baseline/DK1/FR1/20260425_175714_baseline,outputs/timematch_DK1_to_FR1_baseline/fold_0/model.pt
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,12,12,timematch_DK1_to_FR2_baseline,0.5071108667473695,0.8947295423023578,0.09018433094024658,0.00015241323853842914,2.3736648559570312,0.0015958695439621806,0.0669599324464798,0.0451520225033164,0.0451520214167734,0.04558995728277498,3.9166666666666665,0.03844093065708876,0.05740075744688511,0.03961437614634633,0.03844093065708876,0.03327293616409103,0.027803269835809868,0.10824580552677314,2.811084051926931,3.054639438788096,3.050394614537557,2.328218082586924,2.328218082586924,2.386292060216268,1.1732199788093567,8.807428081830343,12,12,12,12,53823,57128,result/baseline/DK1/FR2/20260425_173235_baseline,outputs/timematch_DK1_to_FR2_baseline/fold_0/model.pt
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,11,10,timematch_FR1_to_AT1_baseline,0.7395250152473566,0.97054411564162,0.04583239555358887,8.938701284932904e-06,0.7957562208175659,0.0014189387438818812,0.06652563065290451,0.06696117632091045,0.06696117507914702,0.08988413810729981,9.5,0.08683267384767532,0.04871738702058792,0.06533346436917782,0.04871738702058792,0.050302806124091146,0.04161162078380585,0.20956006795167922,1.1539922297000884,1.2704229950904846,1.269346010684967,0.9222076416015625,0.9222076416015625,0.8368905544281006,0.7163934826850891,3.651278257369995,10,10,10,10,106028,42731,result/baseline/FR1/AT1/20260425_171155_baseline,outputs/timematch_FR1_to_AT1_baseline/fold_0/model.pt
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,11,10,timematch_FR1_to_DK1_baseline,0.639104669964569,0.9358407079646017,0.09329688549041748,3.346021912875585e-05,1.3148796558380127,0.0019483385840430856,0.04414838179945946,0.04092782884836197,0.04092782959342003,0.0400486867253979,5.4,0.032785850763320926,0.05498152524232865,0.03501611277461052,0.032785850763320926,0.02663831114768982,0.02923237904906273,0.13556547462940216,1.528723704814911,1.7760985612869262,1.5329963088035583,1.2770761728286744,1.2770761728286744,1.1925006270408631,0.8265744864940643,5.1423583984375,10,10,10,10,106028,48123,result/baseline/FR1/DK1/20260425_164130_baseline,outputs/timematch_FR1_to_DK1_baseline/fold_0/model.pt
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,11,11,timematch_FR1_to_FR2_baseline,0.799886031040129,0.9605752541532359,0.10473692417144775,1.3438790119835176e-05,0.6939913034439087,0.0012046105694025755,0.07656922936439514,0.04305132444609295,0.04305132359943607,0.041872902857986366,2.0,0.03601347231729464,0.04487651484933766,0.048263983631675896,0.03601347231729464,0.02442152899774638,0.032912024381485855,0.12643137709660965,1.0908818190748042,1.0697429017587141,1.1904531012881885,1.0124495137821545,1.0124495137821545,0.8290800072930076,0.6689622185447,3.9834441271695225,11,11,11,11,106028,73493,result/baseline/FR1/FR2/20260425_161202_baseline,outputs/timematch_FR1_to_FR2_baseline/fold_0/model.pt
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,12,10,timematch_FR2_to_AT1_baseline,0.6486893186354046,0.9567676767676768,0.06481707096099854,0.00327815068885684,2.458416700363159,0.0005790022551082075,0.06963697820901871,0.05538205318152904,0.055382052312294636,0.08525220764180025,11.1,0.08113599345088005,0.03737871460616589,0.04763144887983799,0.03737871460616589,0.04054125212132931,0.03305921852588654,0.17783355116844177,3.8391584396362304,4.281125879287719,3.94679651260376,3.2895527124404906,3.2895527124404906,2.86451256275177,2.1679885029792785,11.273793792724609,10,10,10,10,74156,42731,result/baseline/FR2/AT1/20260425_154246_baseline,outputs/timematch_FR2_to_AT1_baseline/fold_0/model.pt
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,12,10,timematch_FR2_to_DK1_baseline,0.46521104159410426,0.7704305233307553,0.05720198154449463,0.0016447721282020211,2.791639566421509,0.0018965877825394273,0.06674675643444061,0.046813599020242694,0.04681359678506851,0.04607960234085719,3.4,0.03889815956354141,0.06123036071658135,0.04031227007508278,0.03889815956354141,0.033910274133086206,0.029195374622941018,0.12398408949375153,3.8744046211242678,4.333333492279053,4.35970618724823,2.9301737785339355,2.9301737785339355,3.165458631515503,1.8026520490646363,11.878599071502686,10,10,10,10,74156,48123,result/baseline/FR2/DK1/20260425_151712_baseline,outputs/timematch_FR2_to_DK1_baseline/fold_0/model.pt
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,12,12,timematch_FR2_to_FR1_baseline,0.7146286517845691,0.9533865567859903,0.09762394428253174,0.00041451293509453535,1.0041236877441406,0.0004569199518300593,0.07661489397287369,0.04288603582729896,0.04288603484423623,0.041906101370437286,2.4166666666666665,0.03556544100865722,0.04495046225686868,0.04814220126718283,0.03556544100865722,0.02427641690398256,0.033001644226411976,0.1251385851452748,1.4616399109363556,1.3380623360474904,1.6068622569243114,1.439995179573695,1.3380623360474904,1.0698894162972767,0.9252749234437943,5.4016168514887495,12,12,12,12,74156,106107,result/baseline/FR2/FR1/20260425_145127_baseline,outputs/timematch_FR2_to_FR1_baseline/fold_0/model.pt
