source,target,source_dataset,target_dataset,closed_set,source_phase_partition_mode,source_phase_count,raw_source_phase_partition_mode,raw_source_phase_count,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,raw_source_phase_separability_p1,raw_source_phase_margin_p1,raw_source_phase_margin_p5,raw_source_phase_separability_p5,source_phase_compactness_p4,source_phase_compactness_p2,source_phase_margin_p2,source_phase_separability_p3,raw_source_phase_margin_p4,raw_source_phase_margin_p2,raw_source_phase_separability_p2,source_phase_compactness_p1,source_phase_separability_p2,raw_source_phase_separability_p4,raw_source_phase_compactness_p2,source_phase_margin_p4,source_phase_separability_p1,raw_source_phase_compactness_p4,raw_source_phase_compactness_p5,raw_source_phase_separability_p3,source_phase_compactness_p5,source_phase_separability_p4,raw_source_phase_compactness_p3,source_phase_compactness_p3,raw_source_phase_margin_p3,source_phase_margin_p1,source_phase_separability_p5,source_phase_margin_p3,raw_source_phase_compactness_p1,source_phase_margin_p5,source_samples,target_samples,source_phase_boundary_1,raw_source_phase_boundary_1,source_phase_boundary_2,raw_source_phase_boundary_2,source_phase_boundary_3,raw_source_phase_boundary_3,source_phase_boundary_4,raw_source_phase_boundary_4,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.7708414192179455,0.9544291257326839,0.23531368374824524,0.12133369594812393,0.09561069309711456,0.14493295550346375,0.18196989595890045,0.14840272068977356,0.4473020136356354,0.3142399489879608,0.14043205976486206,0.17981918156147003,0.5935841202735901,0.1971922665834427,0.897883415222168,0.26774656772613525,335.4552307128906,0.3895399570465088,0.3983937203884125,311.335693359375,174.82595825195312,0.045899730175733566,0.09767524898052216,0.5177602171897888,134.81764221191406,0.10688289999961853,0.062199804931879044,0.25925692915916443,0.1547117680311203,0.2997324466705322,275.77813720703125,0.15908239781856537,106028,73493,6,16,9,19,13,23,18,26,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.6849517383976679,0.9569108809615139,0.23531368374824524,0.12133369594812393,0.09561069309711456,0.14493295550346375,0.2179415076971054,0.19742652773857117,0.4695213735103607,0.3793320059776306,0.14043205976486206,0.17981918156147003,0.5935841202735901,0.22411797940731049,1.001241683959961,0.26774656772613525,335.4552307128906,0.4218604564666748,0.434111088514328,311.335693359375,174.82595825195312,0.045899730175733566,0.12306978553533554,0.6013179421424866,134.81764221191406,0.1376786082983017,0.062199804931879044,0.2648877203464508,0.15179307758808136,0.3332959711551666,275.77813720703125,0.16539327800273895,106028,48123,6,16,9,19,13,23,18,26,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.7298889512319898,0.9664667393675027,0.23531368374824524,0.12133369594812393,0.09561069309711456,0.14493295550346375,0.24188442528247833,0.18970082700252533,0.43567970395088196,0.370352566242218,0.14043205976486206,0.17981918156147003,0.5935841202735901,0.23139789700508118,0.8392655849456787,0.26774656772613525,335.4552307128906,0.37571123242378235,0.4092380702495575,311.335693359375,174.82595825195312,0.045899730175733566,0.12494664639234543,0.501522421836853,134.81764221191406,0.1422784924507141,0.062199804931879044,0.2516951858997345,0.15266898274421692,0.3464280962944031,275.77813720703125,0.16050654649734497,106028,42731,6,16,9,19,14,23,18,26,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.6719158306719878,0.9369295033778557,0.12085629254579544,0.10428790003061295,0.05872982740402222,0.0682501420378685,0.14039884507656097,0.1167135089635849,0.4430641829967499,0.8562500476837158,0.13181829452514648,0.19164124131202698,0.839356541633606,0.12426406890153885,1.146187424659729,0.1994227170944214,483.4267578125,0.2016139030456543,0.7118671536445618,619.5103149414062,149.06671142578125,1.3665719032287598,0.09027883410453796,0.23373116552829742,680.4117431640625,0.156713604927063,0.29266807436943054,0.32085657119750977,0.054823920130729675,0.43230727314949036,501.195556640625,0.09987477213144302,74156,106107,9,3,15,13,19,17,27,27,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.5115515905903006,0.9177255807983571,0.12085629254579544,0.10428790003061295,0.05872982740402222,0.0682501420378685,0.1436426043510437,0.14556248486042023,0.4494878947734833,0.8908770680427551,0.13181829452514648,0.19164124131202698,0.839356541633606,0.13063353300094604,1.5888046026229858,0.1994227170944214,483.4267578125,0.44579607248306274,0.741351842880249,619.5103149414062,149.06671142578125,1.3665719032287598,0.12483616918325424,0.9162158370018005,680.4117431640625,0.09168940782546997,0.29266807436943054,0.3301146924495697,0.212848961353302,0.466162770986557,501.195556640625,0.1783754974603653,74156,48123,9,3,12,13,15,17,19,27,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.6807079945052281,0.9561984588346627,0.12085629254579544,0.10428790003061295,0.05872982740402222,0.0682501420378685,0.1457056999206543,0.09964809566736221,0.4521450102329254,0.8470582365989685,0.13181829452514648,0.19164124131202698,0.839356541633606,0.14305630326271057,0.8341885209083557,0.1994227170944214,483.4267578125,0.19961613416671753,0.8722074627876282,619.5103149414062,149.06671142578125,1.3665719032287598,0.09455239772796631,0.23946553468704224,680.4117431640625,0.1560675948858261,0.29266807436943054,0.34550929069519043,0.04813210293650627,0.42956462502479553,501.195556640625,0.0979357436299324,74156,42731,12,3,15,13,19,17,27,27,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.6002530846862214,0.9579894574303818,0.0794692412018776,0.0698949545621872,0.05414534732699394,0.03978513926267624,0.07431674748659134,0.04679815471172333,0.12432236224412918,0.7166458964347839,0.08052527159452438,0.1222417876124382,0.2234310656785965,0.1253676861524582,0.07603991031646729,0.21902036666870117,364.2541809082031,0.2808551490306854,0.391774982213974,334.7867126464844,222.9741668701172,0.056327976286411285,0.07768701761960983,0.31822511553764343,162.55735778808594,0.1122238039970398,0.0791436955332756,0.21370859444141388,0.11304795742034912,0.27071061730384827,174.64564514160156,0.14641985297203064,53823,104447,3,5,6,12,12,23,18,26,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.4292075231930532,0.9057477526559521,0.0794692412018776,0.0698949545621872,0.05414534732699394,0.03978513926267624,0.061844371259212494,0.039794422686100006,0.11615878343582153,0.6622311472892761,0.08052527159452438,0.1222417876124382,0.2234310656785965,0.11461395025253296,0.0658828541636467,0.21902036666870117,364.2541809082031,0.277651309967041,0.4413670599460602,334.7867126464844,222.9741668701172,0.056327976286411285,0.06533809006214142,0.31732574105262756,162.55735778808594,0.10802176594734192,0.0791436955332756,0.2105586677789688,0.10174908488988876,0.26650479435920715,174.64564514160156,0.13882936537265778,53823,57128,3,5,6,12,12,23,18,26,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.6579613097542722,0.9420215495125706,0.0794692412018776,0.0698949545621872,0.05414534732699394,0.03978513926267624,0.08185955137014389,0.04994070902466774,0.1228761076927185,0.6857418417930603,0.08052527159452438,0.1222417876124382,0.2234310656785965,0.13685084879398346,0.07583025842905045,0.21902036666870117,364.2541809082031,0.28004077076911926,0.3900305926799774,334.7867126464844,222.9741668701172,0.056327976286411285,0.08073145896196365,0.31405991315841675,162.55735778808594,0.116335429251194,0.0791436955332756,0.2069999724626541,0.11138906329870224,0.2609913945198059,174.64564514160156,0.14621146023273468,53823,43959,3,5,6,12,12,23,18,26,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,structure,5,structure,5,10,1,timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.6538374039270373,0.8929470358271301,0.14383135735988617,0.10556018352508545,0.09877236187458038,0.16808375716209412,0.13195174932479858,0.14730997383594513,0.4046868681907654,0.34223639965057373,0.19715380668640137,0.2138698548078537,1.2332926988601685,0.08039349317550659,1.1548221111297607,0.9838376641273499,369.9520568847656,0.5431023836135864,0.21937750279903412,1381.3709716796875,217.96661376953125,0.20753996074199677,0.0697748064994812,0.9844431281089783,323.3822326660156,0.06516914069652557,0.20567484200000763,0.14737090468406677,0.17019152641296387,0.3125920295715332,218.5435028076172,0.15850980579853058,43809,104138,6,6,11,12,14,17,20,20,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
AT1,FR2,austria/33UVP/2017,france/31TCJ/2017,True,structure,5,structure,5,10,1,timematch_33UVP_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.6123133824751068,0.9169675090252708,0.14383135735988617,0.10556018352508545,0.09877236187458038,0.16808375716209412,0.11439811438322067,0.10685551166534424,0.3741037845611572,0.26077380776405334,0.19715380668640137,0.2138698548078537,1.2332926988601685,0.051586657762527466,1.0160589218139648,0.9838376641273499,369.9520568847656,0.5326332449913025,0.1942545622587204,1381.3709716796875,217.96661376953125,0.20753996074199677,0.05116169527173042,0.9916444420814514,323.3822326660156,0.04196051508188248,0.20567484200000763,0.1393839567899704,0.16362956166267395,0.28395912051200867,218.5435028076172,0.15213996171951294,43809,56678,6,6,11,12,14,17,20,20,/data/user/timematch/outputs/timematch_33UVP_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
AT1,DK1,austria/33UVP/2017,denmark/32VNH/2017,True,structure,5,structure,5,10,1,timematch_33UVP_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.7937378651976443,0.8264306038570977,0.14383135735988617,0.10556018352508545,0.09877236187458038,0.16808375716209412,0.11348467320203781,0.1374363750219345,0.417275607585907,0.34508633613586426,0.19715380668640137,0.2138698548078537,1.2332926988601685,0.07468899339437485,1.1061375141143799,0.9838376641273499,369.9520568847656,0.564546525478363,0.22285957634449005,1381.3709716796875,217.96661376953125,0.20753996074199677,0.0661172866821289,1.0634710788726807,323.3822326660156,0.06339336186647415,0.20567484200000763,0.14872132241725922,0.1689983308315277,0.32543325424194336,218.5435028076172,0.16208067536354065,43809,53173,6,6,11,12,14,17,20,20,/data/user/timematch/outputs/timematch_33UVP_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
