source,target,source_dataset,target_dataset,closed_set,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,pse_mid_curve_distance,prototype_distance,raw_source_curve_spread,target_curve_spread,pse_late_curve_distance,source_fisher_ratio,raw_source_ndvi_q90_range_mean,source_ndvi_q90_range_mean,target_fisher_ratio,best_shifted_curve_mse,raw_curve_spread_gap,classwise_curve_shift_mse_mean,domain_bandwise_curve_mse,global_curve_shift_mse,domain_ndvi_curve_mse,source_curve_activity_range,target_curve_activity_range,raw_source_ndvi_q90_range_std,source_ndvi_q90_range_std,raw_source_class_curve_variance_mean,source_class_curve_variance_mean,raw_target_curve_activity_range,raw_target_ndvi_q90_range_std,target_ndvi_q90_range_std,pse_early_curve_distance,coral,raw_source_curve_activity_range,raw_target_fisher_ratio,raw_target_ndvi_q90_range_mean,target_ndvi_q90_range_mean,curve_spread_gap,raw_target_class_curve_variance_mean,target_class_curve_variance_mean,relation_structure_distance,ndvi_q90_range_mean_gap,raw_ndvi_q90_range_mean_gap,mmd,pse_trend_curve_distance,class_relative_curve_structure_mse,source_curve_spread,class_relative_curve_structure_corr,raw_source_fisher_ratio,curve_activity_range_gap,fisher_ratio_gap,raw_fisher_ratio_gap,raw_target_curve_spread,class_curve_variance_mean_gap,raw_class_curve_variance_mean_gap,acf_distance,raw_curve_activity_range_gap,shared_classes_for_proto,shared_classes_for_relation,shared_classes_for_curves,shared_classes_for_curve_structure,source_samples,target_samples,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,11,1,timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.7708414192179455,0.9544291257326839,1.510881781578064,1.422810673713684,0.12325584888458252,9.786803245544434,1.3621337413787842,2.920743703842163,0.7321340116587552,0.7321340116587552,2.456435441970825,0.00018040130089502782,0.016413740813732147,0.0002772654115688056,0.00023987554595805705,0.00023987554595805705,0.03603022173047066,6.508065700531006,6.313592433929443,0.05812385301532046,0.05812385301532046,0.00013859994942322373,0.00013859994942322373,0.13678763806819916,0.03394764737904725,0.03394764737904725,1.1073236465454102,0.00036094532697461545,0.15825997292995453,0.0795603096485138,0.6586114710027521,0.6586114710027521,-1.6493024826049805,0.00012095875717932358,0.00012095875717932358,0.001232717651873827,0.07352254065600317,0.07352254065600317,0.12456250190734863,12.115341186523438,0.002693342976272106,8.137500762939453,0.4541029022023368,0.023563042283058167,0.1944732666015625,0.4643082618713379,-0.05599726736545563,0.10684210807085037,1.764119224390015e-05,1.764119224390015e-05,0.07656922936439514,0.02147233486175537,11,11,11,11,106028,73493,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,11,1,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.6849517383976679,0.9569108809615139,1.1687123775482178,1.9828131198883057,0.12325584888458252,8.880040168762207,1.0502984523773193,2.425961494445801,0.7321340116587552,0.7321340116587552,3.0903525352478027,0.0001637448585825041,-0.032970622181892395,0.00023077808145899326,0.00016374487313441932,0.0001637448585825041,0.03144913911819458,5.998950481414795,6.658818244934082,0.05812385301532046,0.05812385301532046,0.00013859994942322373,0.00013859994942322373,0.17221680283546448,0.06577309494737843,0.06577309494737843,1.1448875665664673,0.00018615223234519362,0.15825997292995453,0.021165624260902405,0.6677387654781342,0.6677387654781342,-1.216221809387207,0.0001680984569247812,0.0001680984569247812,0.0031102998182177544,0.06439524618062109,0.06439524618062109,0.07313036918640137,12.384610176086426,0.017287269234657288,7.663818359375,-0.17035706514454035,0.023563042283058167,-0.6598677635192871,-0.664391040802002,0.0023974180221557617,0.15622647106647491,-2.949850750155747e-05,-2.949850750155747e-05,0.04414838179945946,-0.013956829905509949,10,10,10,10,106028,48123,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,11,1,timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.7298889512319898,0.9664667393675027,1.3504621982574463,1.614344596862793,0.12325584888458252,9.822516441345215,1.199018120765686,2.2992210388183594,0.7321340116587552,0.7321340116587552,4.401045799255371,0.0002983615850098431,-0.013747230172157288,0.0006201796932145953,0.000490067875944078,0.000490067875944078,0.06800349056720734,5.623814105987549,7.8832855224609375,0.05812385301532046,0.05812385301532046,0.00013859994942322373,0.00013859994942322373,0.19250966608524323,0.03103057536689931,0.03103057536689931,1.8618932962417603,0.0001856927410699427,0.15825997292995453,0.08902993053197861,0.7394913256168365,0.7394913256168365,-2.5951404571533203,0.00028122475487180054,0.00028122475487180054,0.0015423541190102696,-0.007357313958081257,-0.007357313958081257,0.048267364501953125,13.046545028686523,0.0030924296006560326,7.2273759841918945,0.2799088927332446,0.023563042283058167,-2.2594714164733887,-2.1018247604370117,-0.06546688824892044,0.1370030790567398,-0.0001426248054485768,-0.0001426248054485768,0.06652563065290451,-0.034249693155288696,10,10,10,10,106028,42731,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,12,1,timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.6719158306719878,0.9369295033778557,1.848455786705017,1.9045392274856567,0.10544401407241821,10.032439231872559,1.926228642463684,2.543207883834839,0.6546598424514135,0.6546598424514135,2.3625247478485107,0.00018058385467156768,-0.01817106455564499,0.0002774327585939318,0.00024001396377570927,0.0002400139783276245,0.03600727394223213,7.917926788330078,8.503329277038574,0.03504532829880232,0.03504532829880232,0.00012282634270377457,0.00012282634270377457,0.16075800359249115,0.055669499558546616,0.055669499558546616,1.2083314657211304,0.0010573908220976591,0.13860245048999786,0.023602159693837166,0.7325855493545532,0.7325855493545532,0.9136571884155273,0.00014170676877256483,0.00014170676877256483,0.0005449873278848827,-0.07792570690313971,-0.07792570690313971,0.08940565586090088,15.471420288085938,0.002766799181699753,10.946096420288086,0.42720616143867274,0.07966586202383041,-0.5854024887084961,0.18068313598632812,0.05606370232999325,0.1236150786280632,-1.8880426068790257e-05,-1.8880426068790257e-05,0.07661489397287369,-0.022155553102493286,12,12,12,12,74156,106107,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,12,1,timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.5115515905903006,0.9177255807983571,2.4625189304351807,2.5453898906707764,0.10544401407241821,11.318331718444824,1.9765287637710571,2.0550782680511475,0.6546598424514135,0.6546598424514135,2.2421672344207764,0.00015764583076816052,-0.0507824569940567,0.00029868114506825805,0.00022875357535667717,0.0002287535899085924,0.023479918017983437,8.302319526672363,9.202940940856934,0.03504532829880232,0.03504532829880232,0.00012282634270377457,0.00012282634270377457,0.17221680283546448,0.06577309494737843,0.06577309494737843,1.9484752416610718,0.0005384175456129014,0.13860245048999786,0.021165624260902405,0.6677387654781342,0.6677387654781342,0.02658843994140625,0.0001680984569247812,0.0001680984569247812,0.0033145230263471603,-0.013078923026720646,-0.013078923026720646,0.06895112991333008,16.00313949584961,0.016219884157180786,11.34492015838623,-0.00478981038986775,0.07966586202383041,-0.9006214141845703,-0.1870889663696289,0.05850023776292801,0.15622647106647491,-4.527211422100663e-05,-4.527211422100663e-05,0.06674675643444061,-0.033614352345466614,10,10,10,10,74156,48123,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,12,1,timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.6807079945052281,0.9561984588346627,1.482354760169983,2.0340874195098877,0.10544401407241821,12.192254066467285,1.5624282360076904,2.2414631843566895,0.6546598424514135,0.6546598424514135,3.1404244899749756,0.0002791621955111623,-0.031559064984321594,0.0004376363067422062,0.00038409241824410856,0.00038409241824410856,0.034293003380298615,7.703601360321045,9.989747047424316,0.03504532829880232,0.03504532829880232,0.00012282634270377457,0.00012282634270377457,0.19250966608524323,0.03103057536689931,0.03103057536689931,2.364428997039795,0.0008613588870503008,0.13860245048999786,0.08902993053197861,0.7394913256168365,0.7394913256168365,-1.691610336303711,0.00028122475487180054,0.00028122475487180054,0.0012745079584419727,-0.084831483165423,-0.084831483165423,0.07589781284332275,15.909443855285645,0.002500478643923998,10.500643730163574,0.32370058323435297,0.07966586202383041,-2.2861456871032715,-0.8989613056182861,-0.009364068508148193,0.1370030790567398,-0.00015839841216802597,-0.00015839841216802597,0.06963697820901871,-0.05390721559524536,10,10,10,10,74156,42731,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,12,1,timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.6002530846862214,0.9579894574303818,1.809816837310791,3.2570505142211914,0.08906648308038712,9.5577974319458,1.4168339967727661,1.951668620109558,0.6766762435436249,0.6766762435436249,2.2183849811553955,0.00016396143473684788,-0.03010737895965576,0.00021391436166595668,0.00016396140563301742,0.00016396143473684788,0.03194848820567131,7.919693470001221,7.786952495574951,0.042695548552879735,0.042695548552879735,0.0001281706354347989,0.0001281706354347989,0.15606576204299927,0.04851270566638856,0.04851270566638856,1.4396978616714478,0.0007334267720580101,0.1596878170967102,0.019460685551166534,0.732994814713796,0.732994814713796,-0.6706628799438477,0.0001354399573756382,0.0001354399573756382,0.00115148292388767,-0.05631857117017114,-0.05631857117017114,0.07297086715698242,15.3184175491333,0.002824433147907257,8.887134552001953,0.014220754996287398,0.019903885200619698,0.13274097442626953,-0.2667163610458374,0.00044319964945316315,0.11917386204004288,-7.269321940839291e-06,-7.269321940839291e-06,0.044380709528923035,0.0036220550537109375,12,12,12,12,53823,104447,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,12,1,timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.4292075231930532,0.9057477526559521,2.6217200756073,3.461824655532837,0.08906648308038712,11.555795669555664,2.022453784942627,1.9115265607833862,0.6766762435436249,0.6766762435436249,1.8854583501815796,0.00016665605653543025,-0.008998803794384003,0.00026471877936273813,0.0002421480166958645,0.0002421480166958645,0.03004121407866478,8.367465019226074,8.370017051696777,0.042695548552879735,0.042695548552879735,0.0001281706354347989,0.0001281706354347989,0.13658559322357178,0.03706946929733331,0.03706946929733331,1.9487700462341309,0.0008115520467981696,0.1596878170967102,0.05039803311228752,0.6550246427456538,0.6550246427456538,-2.510075569152832,0.00012110874376958236,0.00012110874376958236,0.0014782639918848872,0.021651600797971127,0.021651600797971127,0.09198808670043945,14.05340576171875,0.001077831257134676,9.045720100402832,0.38942010963565205,0.019903885200619698,-0.002552032470703125,0.02606821060180664,-0.030494147911667824,0.09806528687477112,7.061891665216535e-06,7.061891665216535e-06,0.0669599324464798,0.023102223873138428,12,12,12,12,53823,57128,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,12,1,timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.6579613097542722,0.9420215495125706,1.5900583267211914,2.9345626831054688,0.08906648308038712,11.4943208694458,1.268947720527649,2.037132740020752,0.6766762435436249,0.6766762435436249,3.890913248062134,0.00032637317781336606,-0.033044636249542236,0.0005060448893345892,0.0004431382694747299,0.0004431382694747299,0.03909849375486374,7.737563610076904,10.325526237487793,0.042695548552879735,0.042695548552879735,0.0001281706354347989,0.0001281706354347989,0.19201283156871796,0.031152452046977842,0.031152452046977842,2.255279779434204,0.0010854159481823444,0.1596878170967102,0.08871390670537949,0.7333482354879379,0.7333482354879379,-2.9750747680664062,0.0002828868746291846,0.0002828868746291846,0.0009179997141472995,-0.05667199194431305,-0.05667199194431305,0.043944597244262695,16.230863571166992,0.002201913855969906,8.519246101379395,0.33913254206789356,0.019903885200619698,-2.5879626274108887,-1.8537805080413818,-0.06881002150475979,0.12211111932992935,-0.0001547162391943857,-0.0001547162391943857,0.05812571570277214,-0.03232501447200775,12,12,12,12,53823,43959,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,10,1,timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.6538374039270373,0.8929470358271301,1.7719188928604126,2.48708176612854,0.13051709532737732,9.328926086425781,1.935495376586914,3.5750672817230225,0.7373847126960754,0.7373847126960754,2.1544032096862793,0.0002980048593599349,0.012533232569694519,0.0006261737435124815,0.0004890960990451276,0.0004890961572527885,0.06811375170946121,9.063810348510742,7.8552069664001465,0.032480193790871255,0.032480193790871255,0.00028484355425462127,0.00028484355425462127,0.15858978033065796,0.042095343206778935,0.042095343206778935,2.2705397605895996,0.0010174133349210024,0.19278576970100403,0.019197210669517517,0.7427759528160095,0.7427759528160095,1.5331592559814453,0.00013725479948334396,0.00013725479948334396,0.0010819175513461232,-0.005391240119934082,-0.005391240119934082,0.056684017181396484,18.374998092651367,0.0024675431195646524,10.862085342407227,0.20204188691338504,0.08880192041397095,1.2086033821105957,1.4206640720367432,0.06960470974445343,0.1179838627576828,0.0001475887547712773,0.0001475887547712773,0.06623738259077072,0.03419598937034607,10,10,10,10,43809,104138,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
AT1,FR2,austria/33UVP/2017,france/31TCJ/2017,True,10,1,timematch_33UVP_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.6123133824751068,0.9169675090252708,1.59621000289917,2.1545357704162598,0.13051709532737732,10.507702827453613,1.6189677715301514,3.619051694869995,0.7373847126960754,0.7373847126960754,2.1764185428619385,0.0002801216032821685,0.039125956594944,0.0004418711760081351,0.00038700993172824383,0.00038700993172824383,0.045131195336580276,10.098265647888184,7.891044616699219,0.032480193790871255,0.032480193790871255,0.00028484355425462127,0.00028484355425462127,0.12931343913078308,0.035956102844563784,0.035956102844563784,2.788290500640869,0.0010266161989420652,0.19278576970100403,0.04921978712081909,0.6589132726192475,0.6589132726192475,1.1808710098266602,0.00011124293087050319,0.00011124293087050319,0.0011325320228934288,0.07847144007682794,0.07847144007682794,0.07432091236114502,16.55325698852539,0.0025375206023454666,11.688573837280273,0.3950321475189228,0.08880192041397095,2.207221031188965,1.4426331520080566,0.039582133293151855,0.09139113873243332,0.00017360062338411808,0.00017360062338411808,0.06778819113969803,0.06347233057022095,10,10,10,10,43809,56678,/data/user/timematch/outputs/timematch_33UVP_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
AT1,DK1,austria/33UVP/2017,denmark/32VNH/2017,True,10,1,timematch_33UVP_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005,0.7937378651976443,0.8264306038570977,1.5766839981079102,2.8665435314178467,0.13051709532737732,8.683063507080078,1.6621434688568115,4.695196151733398,0.7373847126960754,0.7373847126960754,2.639652729034424,0.00032631843350827694,0.03998067229986191,0.0005061848205514252,0.00044291344238445163,0.00044291341328062117,0.039229195564985275,9.102621078491211,8.27232551574707,0.032480193790871255,0.032480193790871255,0.00028484355425462127,0.00028484355425462127,0.1601216197013855,0.04074833586139003,0.04074833586139003,1.933224081993103,0.002487336518242955,0.19278576970100403,0.019810562953352928,0.669986230134964,0.669986230134964,2.742534637451172,0.00012828977196477354,0.00012828977196477354,0.0018226350657641888,0.06739848256111147,0.06739848256111147,0.09917402267456055,16.273502349853516,0.0027132427785545588,11.42559814453125,0.28121498867547373,0.08880192041397095,0.8302955627441406,2.0555434226989746,0.06899135746061802,0.09053642302751541,0.00015655378228984773,0.00015655378228984773,0.058128368109464645,0.03266414999961853,10,10,10,10,43809,53173,/data/user/timematch/outputs/timematch_33UVP_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005
