source,target,source_dataset,target_dataset,closed_set,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,pse_mid_curve_distance,raw_source_curve_spread,prototype_distance,pse_early_curve_distance,raw_source_ndvi_q90_range_mean,source_ndvi_q90_range_mean,domain_ndvi_curve_mse,target_fisher_ratio,target_curve_spread,raw_curve_spread_gap,pse_late_curve_distance,best_shifted_curve_mse,source_fisher_ratio,relation_structure_distance,classwise_curve_shift_mse_mean,domain_bandwise_curve_mse,global_curve_shift_mse,target_curve_activity_range,class_relative_curve_structure_corr,raw_target_ndvi_q90_range_std,target_ndvi_q90_range_std,class_relative_curve_structure_mse,source_curve_activity_range,raw_source_class_curve_variance_mean,source_class_curve_variance_mean,raw_target_ndvi_q90_range_mean,target_ndvi_q90_range_mean,raw_source_ndvi_q90_range_std,source_ndvi_q90_range_std,acf_distance,raw_target_fisher_ratio,raw_source_curve_activity_range,curve_spread_gap,pse_trend_curve_distance,coral,raw_source_fisher_ratio,ndvi_q90_range_mean_gap,raw_ndvi_q90_range_mean_gap,raw_target_curve_spread,mmd,fisher_ratio_gap,raw_target_curve_activity_range,source_curve_spread,raw_target_class_curve_variance_mean,target_class_curve_variance_mean,class_curve_variance_mean_gap,raw_class_curve_variance_mean_gap,curve_activity_range_gap,raw_curve_activity_range_gap,raw_fisher_ratio_gap,shared_classes_for_proto,shared_classes_for_relation,shared_classes_for_curves,shared_classes_for_curve_structure,source_samples,target_samples,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,11,1,timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.781624224465688,0.9616940477173285,0.828169584274292,0.12325584888458252,1.1535855531692505,0.6806113719940186,0.7321340116587552,0.7321340116587552,0.03603022173047066,2.345348596572876,7.525052070617676,0.016413740813732147,0.8371463418006897,0.00018040130089502782,2.428557872772217,0.0013751783408224583,0.0002772654115688056,0.00023987554595805705,0.00023987554595805705,4.626176834106445,0.4541029022023368,0.03394764737904725,0.03394764737904725,0.002693342976272106,4.358688831329346,0.00013859994942322373,0.00013859994942322373,0.6586114710027521,0.6586114710027521,0.05812385301532046,0.05812385301532046,0.07656922936439514,0.0795603096485138,0.15825997292995453,-1.2755646705627441,7.558701992034912,8.986258035292849e-05,0.023563042283058167,0.07352254065600317,0.07352254065600317,0.10684210807085037,0.10975217819213867,0.08320927619934082,0.13678763806819916,6.249487400054932,0.00012095875717932358,0.00012095875717932358,1.764119224390015e-05,1.764119224390015e-05,-0.2674880027770996,0.02147233486175537,-0.05599726736545563,11,11,11,11,106028,73493,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,11,1,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.6646433558670266,0.9479606188466948,0.7375968098640442,0.12325584888458252,1.4380069971084595,0.8970211148262024,0.7321340116587552,0.7321340116587552,0.03144913911819458,2.2915520668029785,6.388899803161621,-0.032970622181892395,0.7243301868438721,0.0001637448585825041,2.317014455795288,0.003278205171227455,0.00023077808145899326,0.00016374487313441932,0.0001637448585825041,4.691599369049072,-0.17035706514454035,0.06577309494737843,0.06577309494737843,0.017287269234657288,3.966587781906128,0.00013859994942322373,0.00013859994942322373,0.6677387654781342,0.6677387654781342,0.05812385301532046,0.05812385301532046,0.04414838179945946,0.021165624260902405,0.15825997292995453,-0.5166568756103516,7.5923051834106445,5.359996430343017e-05,0.023563042283058167,0.06439524618062109,0.06439524618062109,0.15622647106647491,0.08605265617370605,0.02546238899230957,0.17221680283546448,5.8722429275512695,0.0001680984569247812,0.0001680984569247812,-2.949850750155747e-05,-2.949850750155747e-05,-0.7250115871429443,-0.013956829905509949,0.0023974180221557617,10,10,10,10,106028,48123,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,11,1,timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.7254632262469761,0.962649945474373,0.7991822957992554,0.12325584888458252,1.0582926273345947,1.0140154361724854,0.7321340116587552,0.7321340116587552,0.06800349056720734,4.111514568328857,7.088582515716553,-0.013747230172157288,0.644136369228363,0.0002983615850098431,2.3760294914245605,0.0016166844870895147,0.0006201796932145953,0.000490067875944078,0.000490067875944078,4.789253234863281,0.2799088927332446,0.03103057536689931,0.03103057536689931,0.0030924296006560326,3.7060155868530273,0.00013859994942322373,0.00013859994942322373,0.7394913256168365,0.7394913256168365,0.05812385301532046,0.05812385301532046,0.06652563065290451,0.08902993053197861,0.15825997292995453,-1.666961669921875,8.027369499206543,2.7741480153054e-05,0.023563042283058167,-0.007357313958081257,-0.007357313958081257,0.1370030790567398,0.027273893356323242,-1.7354850769042969,0.19250966608524323,5.421620845794678,0.00028122475487180054,0.00028122475487180054,-0.0001426248054485768,-0.0001426248054485768,-1.083237648010254,-0.034249693155288696,-0.06546688824892044,10,10,10,10,106028,42731,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,12,1,timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.7175220739776266,0.9555463874993554,1.2991102933883667,0.10544401407241821,1.2861344814300537,0.9163686633110046,0.6546598424514135,0.6546598424514135,0.03600727394223213,1.7420152425765991,7.870674133300781,-0.01817106455564499,1.3693245649337769,0.00018058385467156768,1.9581481218338013,0.0004425638762768358,0.0002774327585939318,0.00024001396377570927,0.0002400139783276245,6.183995723724365,0.42720616143867274,0.055669499558546616,0.055669499558546616,0.002766799181699753,5.682590484619141,0.00012282634270377457,0.00012282634270377457,0.7325855493545532,0.7325855493545532,0.03504532829880232,0.03504532829880232,0.07661489397287369,0.023602159693837166,0.13860245048999786,0.7248744964599609,9.9666166305542,0.00015643564984202385,0.07966586202383041,-0.07792570690313971,-0.07792570690313971,0.1236150786280632,0.06108903884887695,0.21613287925720215,0.16075800359249115,8.595548629760742,0.00014170676877256483,0.00014170676877256483,-1.8880426068790257e-05,-1.8880426068790257e-05,-0.5014052391052246,-0.022155553102493286,0.05606370232999325,12,12,12,12,74156,106107,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,12,1,timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.43336591807864516,0.7458606083943011,1.6662356853485107,0.10544401407241821,2.035163402557373,1.42869234085083,0.6546598424514135,0.6546598424514135,0.023479918017983437,1.6193982362747192,8.704507827758789,-0.0507824569940567,1.2850332260131836,0.00015764583076816052,1.8317477703094482,0.004045745357871056,0.00029868114506825805,0.00022875357535667717,0.0002287535899085924,6.5498762130737305,-0.00478981038986775,0.06577309494737843,0.06577309494737843,0.016219884157180786,5.890547275543213,0.00012282634270377457,0.00012282634270377457,0.6677387654781342,0.6677387654781342,0.03504532829880232,0.03504532829880232,0.06674675643444061,0.021165624260902405,0.13860245048999786,-0.17052650451660156,10.896687507629395,0.00015473183884751052,0.07966586202383041,-0.013078923026720646,-0.013078923026720646,0.15622647106647491,0.07425534725189209,0.212349534034729,0.17221680283546448,8.533981323242188,0.0001680984569247812,0.0001680984569247812,-4.527211422100663e-05,-4.527211422100663e-05,-0.6593289375305176,-0.033614352345466614,0.05850023776292801,10,10,10,10,74156,48123,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,12,1,timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.700100415967925,0.9552521292415844,1.0780869722366333,0.10544401407241821,1.475919485092163,1.3413236141204834,0.6546598424514135,0.6546598424514135,0.034293003380298615,2.0247080326080322,9.437725067138672,-0.031559064984321594,1.153246283531189,0.0002791621955111623,1.7057814598083496,0.0013910607667639852,0.0004376363067422062,0.00038409241824410856,0.00038409241824410856,6.599599361419678,0.32370058323435297,0.03103057536689931,0.03103057536689931,0.002500478643923998,5.747684478759766,0.00012282634270377457,0.00012282634270377457,0.7394913256168365,0.7394913256168365,0.03504532829880232,0.03504532829880232,0.06963697820901871,0.08902993053197861,0.13860245048999786,-1.198866844177246,10.837915420532227,0.00022861373145133257,0.07966586202383041,-0.084831483165423,-0.084831483165423,0.1370030790567398,0.06277906894683838,-0.3189265727996826,0.19250966608524323,8.238858222961426,0.00028122475487180054,0.00028122475487180054,-0.00015839841216802597,-0.00015839841216802597,-0.8519148826599121,-0.05390721559524536,-0.009364068508148193,10,10,10,10,74156,42731,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,12,1,timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.5553186588033906,0.952664927320164,1.4063528776168823,0.08906648308038712,2.6449553966522217,1.1292285919189453,0.6766762435436249,0.6766762435436249,0.03194848820567131,2.075415849685669,7.630857467651367,-0.03010737895965576,0.998379647731781,0.00016396143473684788,1.7952903509140015,0.0014533990761265159,0.00021391436166595668,0.00016396140563301742,0.00016396143473684788,5.79133415222168,0.014220754996287398,0.04851270566638856,0.04851270566638856,0.002824433147907257,6.045562744140625,0.0001281706354347989,0.0001281706354347989,0.732994814713796,0.732994814713796,0.042695548552879735,0.042695548552879735,0.044380709528923035,0.019460685551166534,0.1596878170967102,-0.0767221450805664,11.526143074035645,0.0002623103791847825,0.019903885200619698,-0.05631857117017114,-0.05631857117017114,0.11917386204004288,0.06076550483703613,-0.2801254987716675,0.15606576204299927,7.554135322570801,0.0001354399573756382,0.0001354399573756382,-7.269321940839291e-06,-7.269321940839291e-06,0.2542285919189453,0.0036220550537109375,0.00044319964945316315,12,12,12,12,53823,104447,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,12,1,timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.44779340422852926,0.9109234540997003,1.9920352697372437,0.08906648308038712,2.3051435947418213,1.5739507675170898,0.6766762435436249,0.6766762435436249,0.03004121407866478,1.570267677307129,9.11942195892334,-0.008998803794384003,1.4967155456542969,0.00016665605653543025,1.4829931259155273,0.001486272900365293,0.00026471877936273813,0.0002421480166958645,0.0002421480166958645,6.249483108520508,0.38942010963565205,0.03706946929733331,0.03706946929733331,0.001077831257134676,6.3625359535217285,0.0001281706354347989,0.0001281706354347989,0.6550246427456538,0.6550246427456538,0.042695548552879735,0.042695548552879735,0.0669599324464798,0.05039803311228752,0.1596878170967102,-1.4032354354858398,10.52873706817627,0.00020663411123678088,0.019903885200619698,0.021651600797971127,0.021651600797971127,0.09806528687477112,0.07254791259765625,-0.08727455139160156,0.13658559322357178,7.7161865234375,0.00012110874376958236,0.00012110874376958236,7.061891665216535e-06,7.061891665216535e-06,0.1130528450012207,0.023102223873138428,-0.030494147911667824,12,12,12,12,53823,57128,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,12,1,timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.5900827314953311,0.9204720369420215,1.1780284643173218,0.08906648308038712,2.5322000980377197,1.675398349761963,0.6766762435436249,0.6766762435436249,0.03909849375486374,3.141080856323242,8.895112991333008,-0.033044636249542236,1.0792359113693237,0.00032637317781336606,1.6955456733703613,0.0011030728928744793,0.0005060448893345892,0.0004431382694747299,0.0004431382694747299,7.345935821533203,0.33913254206789356,0.031152452046977842,0.031152452046977842,0.002201913855969906,5.992876052856445,0.0001281706354347989,0.0001281706354347989,0.7333482354879379,0.7333482354879379,0.042695548552879735,0.042695548552879735,0.05812571570277214,0.08871390670537949,0.1596878170967102,-1.6917839050292969,11.55508804321289,0.000339097052346915,0.019903885200619698,-0.05667199194431305,-0.05667199194431305,0.12211111932992935,0.053143858909606934,-1.4455351829528809,0.19201283156871796,7.203329086303711,0.0002828868746291846,0.0002828868746291846,-0.0001547162391943857,-0.0001547162391943857,-1.3530597686767578,-0.03232501447200775,-0.06881002150475979,12,12,12,12,53823,43959,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,10,1,timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.6952418886631777,0.9592459701172816,1.4321660995483398,0.13051709532737732,1.805429220199585,1.5271353721618652,0.7373847126960754,0.7373847126960754,0.06811375170946121,2.5563368797302246,8.212419509887695,0.012533232569694519,1.354588270187378,0.0002980048593599349,3.890601634979248,0.0015446229372173548,0.0006261737435124815,0.0004890960990451276,0.0004890961572527885,6.581895351409912,0.20204188691338504,0.042095343206778935,0.042095343206778935,0.0024675431195646524,6.928503513336182,0.00028484355425462127,0.00028484355425462127,0.7427759528160095,0.7427759528160095,0.032480193790871255,0.032480193790871255,0.06623738259077072,0.019197210669517517,0.19278576970100403,1.2227106094360352,14.291560173034668,0.00048175943084061146,0.08880192041397095,-0.005391240119934082,-0.005391240119934082,0.1179838627576828,0.0455784797668457,1.3342647552490234,0.15858978033065796,9.43513011932373,0.00013725479948334396,0.00013725479948334396,0.0001475887547712773,0.0001475887547712773,0.34660816192626953,0.03419598937034607,0.06960470974445343,10,10,10,10,43809,104138,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
AT1,FR2,austria/33UVP/2017,france/31TCJ/2017,True,10,1,timematch_33UVP_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.6094889847111158,0.9380727575673424,1.3377597332000732,0.13051709532737732,1.7693325281143188,1.7876989841461182,0.7373847126960754,0.7373847126960754,0.045131195336580276,2.2888123989105225,9.39909553527832,0.039125956594944,1.4054758548736572,0.0002801216032821685,4.352406024932861,0.0014002543175593019,0.0004418711760081351,0.00038700993172824383,0.00038700993172824383,6.491681098937988,0.3950321475189228,0.035956102844563784,0.035956102844563784,0.0025375206023454666,7.6710405349731445,0.00028484355425462127,0.00028484355425462127,0.6589132726192475,0.6589132726192475,0.032480193790871255,0.032480193790871255,0.06778819113969803,0.04921978712081909,0.19278576970100403,0.7325305938720703,12.570489883422852,0.0008310293778777122,0.08880192041397095,0.07847144007682794,0.07847144007682794,0.09139113873243332,0.07113540172576904,2.063593626022339,0.12931343913078308,10.13162612915039,0.00011124293087050319,0.00011124293087050319,0.00017360062338411808,0.00017360062338411808,1.1793594360351562,0.06347233057022095,0.039582133293151855,10,10,10,10,43809,56678,/data/user/timematch/outputs/timematch_33UVP_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
AT1,DK1,austria/33UVP/2017,denmark/32VNH/2017,True,10,1,timematch_33UVP_to_32VNH_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.7453966533803241,0.7517125092212035,1.3739405870437622,0.13051709532737732,2.4775185585021973,1.2444920539855957,0.7373847126960754,0.7373847126960754,0.039229195564985275,2.7007088661193848,7.558227062225342,0.03998067229986191,1.1815831661224365,0.00032631843350827694,5.0793776512146,0.0022401383612304926,0.0005061848205514252,0.00044291344238445163,0.00044291341328062117,6.929986000061035,0.28121498867547373,0.04074833586139003,0.04074833586139003,0.0027132427785545588,7.188326835632324,0.00028484355425462127,0.00028484355425462127,0.669986230134964,0.669986230134964,0.032480193790871255,0.032480193790871255,0.058128368109464645,0.019810562953352928,0.19278576970100403,2.261695384979248,12.964269638061523,0.0016967093106359243,0.08880192041397095,0.06739848256111147,0.06739848256111147,0.09053642302751541,0.10745787620544434,2.378668785095215,0.1601216197013855,9.81992244720459,0.00012828977196477354,0.00012828977196477354,0.00015655378228984773,0.00015655378228984773,0.25834083557128906,0.03266414999961853,0.06899135746061802,10,10,10,10,43809,53173,/data/user/timematch/outputs/timematch_33UVP_to_32VNH_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
