source,target,source_dataset,target_dataset,closed_set,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,pse_early_curve_distance,pse_mid_curve_distance,target_curve_spread,target_fisher_ratio,pse_late_curve_distance,prototype_distance,source_curve_activity_range,target_curve_activity_range,raw_source_curve_spread,pse_trend_curve_distance,domain_ndvi_curve_mse,classwise_curve_shift_mse_mean,curve_activity_range_gap,raw_target_curve_activity_range,domain_bandwise_curve_mse,global_curve_shift_mse,acf_distance,source_curve_spread,raw_source_ndvi_q90_range_mean,source_ndvi_q90_range_mean,best_shifted_curve_mse,raw_target_class_curve_variance_mean,target_class_curve_variance_mean,raw_source_ndvi_q90_range_std,source_ndvi_q90_range_std,raw_curve_activity_range_gap,raw_target_fisher_ratio,fisher_ratio_gap,raw_target_curve_spread,raw_target_ndvi_q90_range_mean,target_ndvi_q90_range_mean,raw_source_fisher_ratio,curve_spread_gap,raw_curve_spread_gap,class_relative_curve_structure_corr,mmd,class_curve_variance_mean_gap,raw_class_curve_variance_mean_gap,source_fisher_ratio,raw_target_ndvi_q90_range_std,target_ndvi_q90_range_std,raw_source_curve_activity_range,ndvi_q90_range_mean_gap,raw_ndvi_q90_range_mean_gap,raw_source_class_curve_variance_mean,source_class_curve_variance_mean,relation_structure_distance,raw_fisher_ratio_gap,coral,class_relative_curve_structure_mse,shared_classes_for_proto,shared_classes_for_relation,shared_classes_for_curves,shared_classes_for_curve_structure,source_samples,target_samples,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,11,1,timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.7654798997206099,0.9567406918187071,0.728144645690918,0.790208637714386,7.299733638763428,2.2220165729522705,0.8084104657173157,0.9625840783119202,4.038506984710693,4.426590442657471,0.12325584888458252,7.145805835723877,0.03603022173047066,0.0002772654115688056,-0.38808345794677734,0.13678763806819916,0.00023987554595805705,0.00023987554595805705,0.07656922936439514,5.955758571624756,0.7321340116587552,0.7321340116587552,0.00018040130089502782,0.00012095875717932358,0.00012095875717932358,0.05812385301532046,0.05812385301532046,0.02147233486175537,0.0795603096485138,-0.09115219116210938,0.10684210807085037,0.6586114710027521,0.6586114710027521,0.023563042283058167,-1.3439750671386719,0.016413740813732147,0.4541029022023368,0.11973214149475098,1.764119224390015e-05,1.764119224390015e-05,2.130864381790161,0.03394764737904725,0.03394764737904725,0.15825997292995453,0.07352254065600317,0.07352254065600317,0.00013859994942322373,0.00013859994942322373,0.0011927573941648006,-0.05599726736545563,7.012434070929885e-05,0.002693342976272106,11,11,11,11,106028,73493,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,11,1,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.660907604037392,0.9489835059455313,0.9112188220024109,0.7493084073066711,6.08400821685791,2.376088857650757,0.6728397011756897,1.2659666538238525,3.7890028953552246,4.488100528717041,0.12325584888458252,7.347364902496338,0.03144913911819458,0.00023077808145899326,-0.6990976333618164,0.17221680283546448,0.00016374487313441932,0.0001637448585825041,0.04414838179945946,5.798385143280029,0.7321340116587552,0.7321340116587552,0.0001637448585825041,0.0001680984569247812,0.0001680984569247812,0.05812385301532046,0.05812385301532046,-0.013956829905509949,0.021165624260902405,-0.25711679458618164,0.15622647106647491,0.6677387654781342,0.6677387654781342,0.023563042283058167,-0.28562307357788086,-0.032970622181892395,-0.17035706514454035,0.07007861137390137,-2.949850750155747e-05,-2.949850750155747e-05,2.118972063064575,0.06577309494737843,0.06577309494737843,0.15825997292995453,0.06439524618062109,0.06439524618062109,0.00013859994942322373,0.00013859994942322373,0.0026761835906654596,0.0023974180221557617,3.5239085264038295e-05,0.017287269234657288,10,10,10,10,106028,48123,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,11,1,timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.8172605642233364,0.970010905125409,0.9031246304512024,0.7805073857307434,6.788887023925781,3.9094080924987793,0.5766032338142395,1.015308141708374,3.507910966873169,4.498236179351807,0.12325584888458252,7.528924465179443,0.06800349056720734,0.0006201796932145953,-0.9903252124786377,0.19250966608524323,0.000490067875944078,0.000490067875944078,0.06652563065290451,5.245112895965576,0.7321340116587552,0.7321340116587552,0.0002983615850098431,0.00028122475487180054,0.00028122475487180054,0.05812385301532046,0.05812385301532046,-0.034249693155288696,0.08902993053197861,-2.037840962409973,0.1370030790567398,0.7394913256168365,0.7394913256168365,0.023563042283058167,-1.543774127960205,-0.013747230172157288,0.2799088927332446,0.03676939010620117,-0.0001426248054485768,-0.0001426248054485768,1.8715671300888062,0.03103057536689931,0.03103057536689931,0.15825997292995453,-0.007357313958081257,-0.007357313958081257,0.00013859994942322373,0.00013859994942322373,0.001957221422344446,-0.06546688824892044,3.04011809930671e-05,0.0030924296006560326,10,10,10,10,106028,42731,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,12,1,timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.7263616022773961,0.9664277242019493,0.8447604179382324,1.2191147804260254,7.306154727935791,2.1020078659057617,1.3525618314743042,1.284956693649292,5.109337329864502,5.59083366394043,0.10544401407241821,9.969710350036621,0.03600727394223213,0.0002774327585939318,-0.48149633407592773,0.16075800359249115,0.00024001396377570927,0.0002400139783276245,0.07661489397287369,7.729991436004639,0.6546598424514135,0.6546598424514135,0.00018058385467156768,0.00014170676877256483,0.00014170676877256483,0.03504532829880232,0.03504532829880232,-0.022155553102493286,0.023602159693837166,-0.014506101608276367,0.1236150786280632,0.7325855493545532,0.7325855493545532,0.07966586202383041,0.42383670806884766,-0.01817106455564499,0.42720616143867274,0.07058846950531006,-1.8880426068790257e-05,-1.8880426068790257e-05,2.0875017642974854,0.055669499558546616,0.055669499558546616,0.13860245048999786,-0.07792570690313971,-0.07792570690313971,0.00012282634270377457,0.00012282634270377457,0.000421251606894657,0.05606370232999325,0.00015699182404205203,0.002766799181699753,12,12,12,12,74156,106107,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,12,1,timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.6692498894464263,0.9344115004492363,1.409364938735962,1.6052805185317993,8.311373710632324,1.9311214685440063,1.2190779447555542,1.7352793216705322,5.509720325469971,6.070470809936523,0.10544401407241821,10.2710542678833,0.023479918017983437,0.00029868114506825805,-0.5607504844665527,0.17221680283546448,0.00022875357535667717,0.0002287535899085924,0.06674675643444061,7.927717685699463,0.6546598424514135,0.6546598424514135,0.00015764583076816052,0.0001680984569247812,0.0001680984569247812,0.03504532829880232,0.03504532829880232,-0.033614352345466614,0.021165624260902405,-0.35717105865478516,0.15622647106647491,0.6677387654781342,0.6677387654781342,0.07966586202383041,-0.38365602493286133,-0.0507824569940567,-0.00478981038986775,0.05278348922729492,-4.527211422100663e-05,-4.527211422100663e-05,1.5739504098892212,0.06577309494737843,0.06577309494737843,0.13860245048999786,-0.013078923026720646,-0.013078923026720646,0.00012282634270377457,0.00012282634270377457,0.004901262931525707,0.05850023776292801,7.08296793163754e-05,0.016219884157180786,10,10,10,10,74156,48123,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,12,1,timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.6891402524899729,0.9589022576720292,1.2408630847930908,0.9397220611572266,8.425475120544434,2.518925666809082,1.0128884315490723,1.4249789714813232,5.202514171600342,5.991054534912109,0.10544401407241821,9.935365676879883,0.034293003380298615,0.0004376363067422062,-0.7885403633117676,0.19250966608524323,0.00038409241824410856,0.00038409241824410856,0.06963697820901871,7.536756992340088,0.6546598424514135,0.6546598424514135,0.0002791621955111623,0.00028122475487180054,0.00028122475487180054,0.03504532829880232,0.03504532829880232,-0.05390721559524536,0.08902993053197861,-0.9279074668884277,0.1370030790567398,0.7394913256168365,0.7394913256168365,0.07966586202383041,-0.8887181282043457,-0.031559064984321594,0.32370058323435297,0.06258738040924072,-0.00015839841216802597,-0.00015839841216802597,1.5910181999206543,0.03103057536689931,0.03103057536689931,0.13860245048999786,-0.084831483165423,-0.084831483165423,0.00012282634270377457,0.00012282634270377457,0.0013302377192303538,-0.009364068508148193,0.00013106261030770838,0.002500478643923998,10,10,10,10,74156,42731,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,12,1,timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.567266588240087,0.9452638304669613,1.1655330657958984,1.29233717918396,8.060060501098633,1.9391103982925415,1.0520817041397095,2.3190271854400635,6.352029800415039,6.02379035949707,0.08906648308038712,11.61115550994873,0.03194848820567131,0.00021391436166595668,0.32823944091796875,0.15606576204299927,0.00016396140563301742,0.00016396143473684788,0.044380709528923035,7.551641941070557,0.6766762435436249,0.6766762435436249,0.00016396143473684788,0.0001354399573756382,0.0001354399573756382,0.042695548552879735,0.042695548552879735,0.0036220550537109375,0.019460685551166534,-0.25571322441101074,0.11917386204004288,0.732994814713796,0.732994814713796,0.019903885200619698,-0.5084185600280762,-0.03010737895965576,0.014220754996287398,0.054402709007263184,-7.269321940839291e-06,-7.269321940839291e-06,1.6833971738815308,0.04851270566638856,0.04851270566638856,0.1596878170967102,-0.05631857117017114,-0.05631857117017114,0.0001281706354347989,0.0001281706354347989,0.0012501389719545841,0.00044319964945316315,0.00022691168123856187,0.002824433147907257,12,12,12,12,53823,104447,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,12,1,timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.5047673630709492,0.9171887769000272,1.7338453531265259,1.8371577262878418,9.77592658996582,1.5129581689834595,1.7463258504867554,2.441650390625,6.814263820648193,6.646158695220947,0.08906648308038712,11.154499053955078,0.03004121407866478,0.00026471877936273813,0.1681051254272461,0.13658559322357178,0.0002421480166958645,0.0002421480166958645,0.0669599324464798,7.996977806091309,0.6766762435436249,0.6766762435436249,0.00016665605653543025,0.00012110874376958236,0.00012110874376958236,0.042695548552879735,0.042695548552879735,0.023102223873138428,0.05039803311228752,0.12811708450317383,0.09806528687477112,0.6550246427456538,0.6550246427456538,0.019903885200619698,-1.7789487838745117,-0.008998803794384003,0.38942010963565205,0.08056497573852539,7.061891665216535e-06,7.061891665216535e-06,1.6410752534866333,0.03706946929733331,0.03706946929733331,0.1596878170967102,0.021651600797971127,0.021651600797971127,0.0001281706354347989,0.0001281706354347989,0.0015777002554386854,-0.030494147911667824,0.00020891694293823093,0.001077831257134676,12,12,12,12,53823,57128,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,12,1,timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.6287787828586038,0.9362493586454592,1.6384049654006958,1.2298585176467896,9.599166870117188,3.023513078689575,1.121595859527588,2.4799702167510986,6.541344165802002,7.453335285186768,0.08906648308038712,11.733290672302246,0.03909849375486374,0.0005060448893345892,-0.9119911193847656,0.19201283156871796,0.0004431382694747299,0.0004431382694747299,0.05812571570277214,7.429871559143066,0.6766762435436249,0.6766762435436249,0.00032637317781336606,0.0002828868746291846,0.0002828868746291846,0.042695548552879735,0.042695548552879735,-0.03232501447200775,0.08871390670537949,-1.330712080001831,0.12211111932992935,0.7333482354879379,0.7333482354879379,0.019903885200619698,-2.169295310974121,-0.033044636249542236,0.33913254206789356,0.04427289962768555,-0.0001547162391943857,-0.0001547162391943857,1.6928009986877441,0.031152452046977842,0.031152452046977842,0.1596878170967102,-0.05667199194431305,-0.05667199194431305,0.0001281706354347989,0.0001281706354347989,0.0009276265627704561,-0.06881002150475979,0.0002514576481189579,0.002201913855969906,12,12,12,12,53823,43959,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,10,1,timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.6644981734888166,0.8887698816472982,1.4309968948364258,1.3428494930267334,7.753947734832764,1.8048632144927979,1.4050499200820923,1.8690818548202515,6.656163215637207,6.241272449493408,0.13051709532737732,13.817138671875,0.06811375170946121,0.0006261737435124815,0.41489076614379883,0.15858978033065796,0.0004890960990451276,0.0004890961572527885,0.06623738259077072,8.895340919494629,0.7373847126960754,0.7373847126960754,0.0002980048593599349,0.00013725479948334396,0.00013725479948334396,0.032480193790871255,0.032480193790871255,0.03419598937034607,0.019197210669517517,1.9633021354675293,0.1179838627576828,0.7427759528160095,0.7427759528160095,0.08880192041397095,1.1413931846618652,0.012533232569694519,0.20204188691338504,0.055054306983947754,0.0001475887547712773,0.0001475887547712773,3.768165349960327,0.042095343206778935,0.042095343206778935,0.19278576970100403,-0.005391240119934082,-0.005391240119934082,0.00028484355425462127,0.00028484355425462127,0.0010525006800889969,0.06960470974445343,0.0005057674134150147,0.0024675431195646524,10,10,10,10,43809,104138,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
AT1,FR2,austria/33UVP/2017,france/31TCJ/2017,True,10,1,timematch_33UVP_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.6147566127504487,0.9423771174673702,1.752992033958435,1.3442834615707397,9.164229393005371,2.054511785507202,1.24228036403656,1.3992600440979004,7.315381050109863,6.48993444442749,0.13051709532737732,11.617864608764648,0.045131195336580276,0.0004418711760081351,0.825446605682373,0.12931343913078308,0.00038700993172824383,0.00038700993172824383,0.06778819113969803,9.474780082702637,0.7373847126960754,0.7373847126960754,0.0002801216032821685,0.00011124293087050319,0.00011124293087050319,0.032480193790871255,0.032480193790871255,0.06347233057022095,0.04921978712081909,1.9077377319335938,0.09139113873243332,0.6589132726192475,0.6589132726192475,0.08880192041397095,0.3105506896972656,0.039125956594944,0.3950321475189228,0.06767439842224121,0.00017360062338411808,0.00017360062338411808,3.962249517440796,0.035956102844563784,0.035956102844563784,0.19278576970100403,0.07847144007682794,0.07847144007682794,0.00028484355425462127,0.00028484355425462127,0.0008935811929404736,0.039582133293151855,0.00040901306783780456,0.0025375206023454666,10,10,10,10,43809,56678,/data/user/timematch/outputs/timematch_33UVP_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
AT1,DK1,austria/33UVP/2017,denmark/32VNH/2017,True,10,1,timematch_33UVP_to_32VNH_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.7429959147107306,0.7345347244177468,1.2303705215454102,1.308284878730774,7.815598011016846,2.658235549926758,1.0826728343963623,2.3723788261413574,7.12039041519165,6.3592119216918945,0.13051709532737732,12.073150634765625,0.039229195564985275,0.0005061848205514252,0.7611784934997559,0.1601216197013855,0.00044291344238445163,0.00044291341328062117,0.058128368109464645,9.822332382202148,0.7373847126960754,0.7373847126960754,0.00032631843350827694,0.00012828977196477354,0.00012828977196477354,0.032480193790871255,0.032480193790871255,0.03266414999961853,0.019810562953352928,1.527592658996582,0.09053642302751541,0.669986230134964,0.669986230134964,0.08880192041397095,2.0067343711853027,0.03998067229986191,0.28121498867547373,0.10474133491516113,0.00015655378228984773,0.00015655378228984773,4.18582820892334,0.04074833586139003,0.04074833586139003,0.19278576970100403,0.06739848256111147,0.06739848256111147,0.00028484355425462127,0.00028484355425462127,0.001801853533834219,0.06899135746061802,0.000907238048966974,0.0027132427785545588,10,10,10,10,43809,53173,/data/user/timematch/outputs/timematch_33UVP_to_32VNH_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
