source,target,source_dataset,target_dataset,closed_set,source_phase_partition_mode,source_phase_count,target_phase_partition_mode,target_phase_count,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,phase_compactness_gap_p3,source_phase_separability_p3,source_phase_margin_p3,phase_compactness_gap_p2,phase_compactness_gap_p5,source_phase_compactness_p5,phase_separability_gap_p3,target_phase_separability_p3,source_phase_margin_p4,phase_margin_gap_p3,source_phase_margin_p1,source_phase_separability_p4,target_phase_margin_p3,phase_separability_gap_p1,source_phase_separability_p1,source_phase_separability_p5,phase_margin_gap_p1,target_phase_margin_p1,phase_margin_gap_p4,target_phase_margin_p5,phase_margin_gap_p5,phase_separability_gap_p5,target_phase_margin_p4,source_phase_margin_p2,source_phase_separability_p2,phase_margin_gap_p2,target_phase_margin_p2,target_phase_compactness_p4,source_phase_compactness_p1,target_phase_compactness_p3,target_phase_separability_p5,phase_compactness_gap_p4,source_phase_compactness_p2,target_phase_separability_p1,source_phase_compactness_p3,source_phase_margin_p5,target_phase_compactness_p2,target_phase_compactness_p1,phase_separability_gap_p2,phase_separability_gap_p4,phase_compactness_gap_p1,target_phase_compactness_p5,source_phase_compactness_p4,target_phase_separability_p4,target_phase_separability_p2,source_samples,target_samples,source_phase_boundary_1,target_phase_boundary_1,source_phase_boundary_2,target_phase_boundary_2,source_phase_boundary_3,target_phase_boundary_3,source_phase_boundary_4,target_phase_boundary_4,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5,0.7373654699695001,0.9524477833732353,-1.837836742401123,0.47873052954673767,0.332597553730011,-3.602865219116211,-10.017332077026367,4.0861053466796875,-0.6328913271427155,1.1116218566894531,0.17157655954360962,-0.17714619636535645,0.2812485694885254,0.1280982941389084,0.5097437500953674,-0.44883397221565247,0.4554477632045746,0.18312600255012512,-0.1068924069404602,0.3881409764289856,-0.0771944522857666,0.14374826848506927,0.009868815541267395,0.04625576734542847,0.24877101182937622,0.42215481400489807,0.6512767672538757,-0.10335448384284973,0.5255092978477478,9.42918586730957,8.180085182189941,6.733253002166748,0.13687023520469666,-1.9160823822021484,4.664170265197754,0.904281735420227,4.895416259765625,0.15361708402633667,8.267035484313965,8.944964408874512,-1.3153631091117859,-0.23266620934009552,-0.7648792266845703,14.103437423706055,7.513103485107422,0.3607645034790039,1.9666398763656616,106028,73493,6,9,9,12,19,18,22,26,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5,0.6771105732221444,0.954865106763841,0.35313987731933594,1.0761057138442993,0.4870510697364807,2.733236312866211,-1.32673978805542,6.601072311401367,0.26159346103668213,0.8145122528076172,0.4135764241218567,-22.85901826620102,0.2683115005493164,0.623663067817688,23.3460693359375,-0.007586658000946045,0.4686160087585449,0.15636102855205536,-33.04465389251709,33.312965393066406,-21.29836815595627,24.40053367614746,-24.227280259132385,-0.11857815086841583,21.711944580078125,0.2931469976902008,0.5113218426704407,-26.8318472802639,27.1249942779541,10.893627166748047,7.5523834228515625,7.883699417114258,0.2749391794204712,-2.95479679107666,11.054542541503906,0.47620266675949097,8.236839294433594,0.17325341701507568,8.321306228637695,7.1477274894714355,-0.641373336315155,0.26311713457107544,0.40465593338012695,7.927812099456787,7.938830375671387,0.36054593324661255,1.1526951789855957,106028,48123,3,5,6,10,10,18,18,27,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5,0.725400459249956,0.9631952017448201,-0.4685707092285156,1.0855308771133423,0.4885399341583252,-2.5756187438964844,0.35797739028930664,7.4792633056640625,-0.10254383087158203,1.1880747079849243,0.42663609981536865,0.0035351812839508057,0.2847503423690796,0.7264325618743896,0.4850047528743744,0.2077498733997345,0.5388298630714417,0.1547626256942749,0.10303835570812225,0.18171198666095734,-0.28680235147476196,0.20396050810813904,-0.026751428842544556,-0.06980708241462708,0.7134384512901306,0.30366647243499756,0.5506553053855896,-0.1996523141860962,0.5033187866210938,7.615670680999756,7.323275566101074,9.603471755981445,0.22456970810890198,2.02095365524292,10.666313171386719,0.33107998967170715,9.13490104675293,0.17720907926559448,13.241931915283203,9.78978157043457,-0.7257595658302307,-1.0883677005767822,-2.466506004333496,7.121285915374756,9.636624336242676,1.8148002624511719,1.2764148712158203,106028,42731,3,6,6,10,9,13,18,20,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5,0.729122347965602,0.967252849259966,2.3303680419921875,1.6779156923294067,0.4600053131580353,-0.3413124084472656,2.57064151763916,16.09395408630371,0.662735104560852,1.0151805877685547,0.4386868476867676,0.012296319007873535,0.23595541715621948,0.8180769681930542,0.44770899415016174,-0.012816697359085083,0.35854828357696533,0.18154309689998627,0.025016069412231445,0.21093934774398804,0.06888645887374878,0.1525934487581253,0.02207443118095398,0.05838770419359207,0.3698003888130188,0.37174734473228455,0.8620641827583313,0.1586526781320572,0.21309466660022736,18.19057273864746,12.449996948242188,18.60395622253418,0.1231553927063942,-1.294820785522461,19.53044319152832,0.3713649809360504,20.934324264526367,0.17466787993907928,19.871755599975586,14.377706527709961,0.5434756577014923,0.29683923721313477,-1.9277095794677734,13.52331256866455,16.895751953125,0.5212377309799194,0.318588525056839,74156,106107,3,3,9,6,12,9,19,18,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5,0.49682837080939496,0.8753690155307406,-2.743485450744629,0.8317281603813171,0.4398917853832245,1.129404067993164,0.5699338912963867,11.304067611694336,0.12870126962661743,0.7030268907546997,0.4199720621109009,-26.712558776140213,0.21930091083049774,0.7821469902992249,27.152450561523438,-0.25035563111305237,0.28778502345085144,0.18643461167812347,-35.5316870957613,35.7509880065918,-20.17063081264496,23.778074264526367,-23.603681713342667,-0.09321273863315582,20.59060287475586,0.3896256983280182,1.0468852519989014,-19.92428383231163,20.31390953063965,13.145466804504395,7.527206897735596,10.470585823059082,0.2796473503112793,0.0953817367553711,13.477232933044434,0.5381406545639038,7.727100372314453,0.17439255118370056,12.34782886505127,11.220172882080078,0.257629930973053,0.504901796579361,-3.6929659843444824,10.73413372039795,13.240848541259766,0.2772451937198639,0.7892553210258484,74156,48123,3,5,12,8,15,18,19,27,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5,0.5913879096787563,0.9541706097066378,-3.74014949798584,0.8170940279960632,0.4519684612751007,-0.7373361587524414,0.5968008041381836,9.570635795593262,-0.10233283042907715,0.9194268584251404,0.23838146030902863,0.032056182622909546,0.24094025790691376,0.28736111521720886,0.41991227865219116,0.2953779771924019,0.4076967239379883,0.15406781435012817,0.12728674709796906,0.1136535108089447,-0.4739563316106796,0.2034255862236023,-0.057463109493255615,-0.06029494106769562,0.7123377919197083,0.3860885202884674,1.0226855278015137,0.18788014352321625,0.19820837676525116,11.462224960327148,8.602924346923828,14.283506393432617,0.2143627554178238,-0.03306388854980469,14.075311660766602,0.1123187467455864,10.543356895446777,0.14596247673034668,14.812647819519043,14.676959991455078,0.8048295229673386,-1.2159465849399567,-6.07403564453125,8.973834991455078,11.429161071777344,1.5033077001571655,0.2178560048341751,74156,42731,3,3,12,6,18,13,24,19,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5,0.5681830871542143,0.9538363239444119,-2.438213348388672,0.5142143964767456,0.3471812605857849,1.2198591232299805,5.753473281860352,18.740524291992188,-0.04112112522125244,0.555335521697998,0.16105972230434418,-0.04458904266357422,0.15120860934257507,0.13607822358608246,0.39177030324935913,-0.17920131981372833,0.18586166203022003,0.16484414041042328,-0.122292160987854,0.2735007703304291,-0.1399654895067215,0.16537611186504364,0.017625361680984497,0.023488253355026245,0.3010252118110657,0.27269449830055237,0.7631775736808777,-0.17804116010665894,0.4507356584072113,14.914932250976562,15.877388954162598,17.27000617980957,0.14135588705539703,2.006948471069336,17.166475296020508,0.36506298184394836,14.831792831420898,0.18300147354602814,15.946616172790527,14.664225578308105,-0.12413322925567627,-0.41784633696079254,1.2131633758544922,12.987051010131836,16.9218807220459,0.553924560546875,0.887310802936554,53823,104447,5,5,11,9,18,14,24,19,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5,0.4437030618532695,0.8889948242985563,-2.8395252227783203,0.4218218922615051,0.2915555238723755,2.286259651184082,0.9146299362182617,13.095844268798828,-0.23651385307312012,0.6583357453346252,0.4159716069698334,-0.04271647334098816,0.15249967575073242,0.6571797728538513,0.33427199721336365,-0.21775409579277039,0.2600395977497101,0.15544544160366058,-0.12429055571556091,0.27679023146629333,0.18924684822559357,0.16157302260398865,0.011186078190803528,0.03624938428401947,0.2267247587442398,0.2681826651096344,0.8374783396720886,-0.16942793130874634,0.43761059641838074,10.667353630065918,12.1061429977417,12.42108154296875,0.11919605731964111,-1.0633172988891602,12.116722106933594,0.47779369354248047,9.58155632019043,0.17275910079479218,9.830462455749512,9.952308654785156,-0.2519802451133728,0.3971650004386902,2.153834342956543,12.181214332580566,9.604036331176758,0.26001477241516113,1.0894585847854614,53823,57128,5,3,11,17,15,20,18,26,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5,0.6575350670899184,0.9385582349923037,-2.8999691009521484,0.3487192392349243,0.28159403800964355,-1.7216997146606445,3.200106620788574,12.192536354064941,-0.7131034135818481,1.0618226528167725,0.40360942482948303,-0.083891361951828,0.15634819865226746,0.6826786994934082,0.36548539996147156,0.05902586877346039,0.19938696920871735,0.14824272692203522,0.04315521568059921,0.11319298297166824,-0.21233144402503967,0.18725962936878204,-0.02006205916404724,-0.07735346257686615,0.6159408688545227,0.2652152478694916,0.7317857146263123,0.09802474081516266,0.16719050705432892,10.91750717163086,10.40982723236084,14.22811222076416,0.22559618949890137,-0.11333370208740234,13.340076446533203,0.14036110043525696,11.328143119812012,0.1671975702047348,15.061776161193848,15.269068717956543,0.5358411520719528,-0.7788070440292358,-4.859241485595703,8.992429733276367,10.804173469543457,1.461485743522644,0.19594456255435944,53823,43959,5,3,11,6,15,13,18,19,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,structure,5,structure,5,10,1,timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5,0.6944806387346019,0.9271675681465217,0.6480932235717773,1.6816319227218628,0.6641044616699219,-0.30554962158203125,-2.1111435890197754,7.8793463706970215,0.7219864726066589,0.9596454501152039,0.5170383453369141,0.17995795607566833,0.16054612398147583,1.0072364807128906,0.48414650559425354,-0.18593774735927582,0.2192450612783432,0.20112113654613495,-0.12611034512519836,0.2866564691066742,0.19728592038154602,0.15714897215366364,0.00795966386795044,0.06057778000831604,0.31975242495536804,0.4043464660644531,1.2848312854766846,0.11131009459495544,0.2930363714694977,11.6338472366333,9.786334037780762,12.982769966125488,0.1405433565378189,2.5725479125976562,16.25870704650879,0.405182808637619,13.630863189697266,0.16510863602161407,16.56425666809082,11.60200023651123,0.9184481799602509,0.5970130562782288,-1.8156661987304688,9.990489959716797,14.206395149230957,0.41022342443466187,0.3663831055164337,43809,104138,6,3,13,6,16,9,20,19,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5
AT1,FR2,austria/33UVP/2017,france/31TCJ/2017,True,structure,5,structure,5,10,1,timematch_33UVP_to_31TCJ_closedset_noshift_sourcephasecompact_p5,0.6083244884817091,0.939877811718967,0.18521785736083984,1.1392852067947388,0.5511384010314941,2.2779312133789062,-2.367459774017334,6.900967121124268,0.3706352710723877,0.7686499357223511,0.2079475373029709,0.12409335374832153,0.15245576202869415,0.20488084852695465,0.4270450472831726,-0.5429117232561111,0.2262076586484909,0.2205062210559845,-0.20164944231510162,0.3541052043437958,-0.1333817094564438,0.19267313182353973,-0.025225967168807983,0.04139937460422516,0.3413292467594147,0.4586148262023926,1.6551786661148071,-0.08656078577041626,0.5451756119728088,15.524431228637695,6.980988502502441,11.349968910217285,0.17910684645175934,-5.211108207702637,18.060396194458008,0.769119381904602,11.535186767578125,0.16744716465473175,15.782464981079102,10.361409187316895,0.5478273630142212,-0.26456256210803986,-3.380420684814453,9.268426895141602,10.313323020935059,0.4694434106349945,1.107351303100586,43809,56678,6,7,11,12,19,17,22,20,/data/user/timematch/outputs/timematch_33UVP_to_31TCJ_closedset_noshift_sourcephasecompact_p5
AT1,DK1,austria/33UVP/2017,denmark/32VNH/2017,True,structure,5,structure,5,10,1,timematch_33UVP_to_32VNH_closedset_noshift_sourcephasecompact_p5,0.8464426994528218,0.907682579829276,0.8203697204589844,1.770093321800232,0.6803533434867859,0.23083782196044922,-5.572329044342041,7.3698506355285645,1.2809733152389526,0.4891200065612793,0.5329545140266418,0.3531268537044525,0.16317616403102875,0.9786738157272339,0.3272264897823334,0.09437814354896545,0.24054208397865295,0.20222702622413635,0.0006058961153030396,0.1625702679157257,0.3749980479478836,0.1597401648759842,0.009714141488075256,0.06386008858680725,0.15795646607875824,0.3642212152481079,0.8938495516777039,0.06425115466117859,0.2999700605869293,10.329492568969727,9.793916702270508,10.672622680664062,0.1383669376373291,1.3969106674194336,13.173271179199219,0.1461639404296875,11.492992401123047,0.16945430636405945,12.94243335723877,10.909001350402832,0.2624567747116089,0.8732725381851196,-1.1150846481323242,12.942179679870605,11.72640323638916,0.10540127754211426,0.631392776966095,43809,53173,5,5,13,8,16,18,20,22,/data/user/timematch/outputs/timematch_33UVP_to_32VNH_closedset_noshift_sourcephasecompact_p5
